_date,total_clones,unique_clones
2023-03-02,7,5
2023-03-03,4,2
2023-03-04,1,1
2023-03-05,5,1
2023-03-06,10,4
2023-03-07,7,5
2023-03-08,11,4
2023-03-09,5,3
2023-03-10,11,4
2023-03-11,1,1
2023-03-12,9,3
2023-03-13,29,4
2023-03-14,1,1
2023-03-15,9,2
2023-03-16,8,5
2023-03-17,20,9
2023-03-18,21,4
2023-03-19,6,4
2023-03-20,70,9
2023-03-21,25,8
2023-03-22,4,4
2023-03-23,4,3
2023-03-24,1,1
2023-03-25,5,4
2023-03-27,3,3
2023-03-28,1,1
2023-03-29,5,4
2023-03-30,3,3
2023-03-31,9,4
2023-04-01,1,1
2023-04-02,20,4
2023-04-03,17,4
2023-04-04,25,7
2023-04-05,3,1
2023-04-06,3,3
2023-04-07,14,3
2023-04-08,3,1
2023-04-09,36,4
2023-04-10,73,9
2023-04-11,15,6
2023-04-12,31,2
2023-04-13,19,3
2023-04-14,3,3
2023-04-15,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-18,27,2
2023-04-19,21,1
2023-04-20,4,2
2023-04-21,14,4
2023-04-22,1,1
2023-04-23,11,3
