_date,total_views,unique_views
2023-03-02,5,3
2023-03-03,17,8
2023-03-04,7,2
2023-03-05,24,6
2023-03-06,90,12
2023-03-07,112,9
2023-03-08,86,6
2023-03-09,46,11
2023-03-10,38,7
2023-03-11,29,6
2023-03-12,141,5
2023-03-13,201,6
2023-03-14,65,3
2023-03-15,64,12
2023-03-16,125,15
2023-03-17,132,9
2023-03-18,113,6
2023-03-19,147,8
2023-03-20,160,8
2023-03-21,202,12
2023-03-22,71,17
2023-03-23,48,11
2023-03-24,38,9
2023-03-25,47,5
2023-03-26,1,1
2023-03-27,26,8
2023-03-28,7,4
2023-03-29,64,10
2023-03-30,55,9
2023-03-31,68,7
2023-04-01,15,5
2023-04-02,224,7
2023-04-03,185,13
2023-04-04,196,11
2023-04-05,99,12
2023-04-06,82,6
2023-04-07,82,9
2023-04-08,23,5
2023-04-09,264,5
2023-04-10,334,11
2023-04-11,283,11
2023-04-12,197,11
2023-04-13,107,7
2023-04-14,64,11
2023-04-15,48,8
2023-04-16,69,8
2023-04-17,40,11
2023-04-18,143,5
2023-04-19,102,8
2023-04-20,35,6
2023-04-21,26,9
2023-04-22,55,5
2023-04-23,52,7
2023-04-24,80,11
2023-04-25,37,6
2023-04-26,41,10
2023-04-27,56,4
2023-04-28,138,10
2023-04-29,11,5
2023-04-30,38,4
2023-05-01,75,6
2023-05-02,98,14
2023-05-03,26,7
2023-05-04,58,7
2023-05-05,72,8
2023-05-06,43,7
2023-05-07,22,5
2023-05-08,278,12
2023-05-09,84,10
2023-05-10,82,7
2023-05-11,45,12
2023-05-12,88,2
2023-05-13,9,3
2023-05-14,1,1
2023-05-15,85,9
2023-05-16,73,9
2023-05-17,24,12
2023-05-18,67,8
2023-05-19,19,7
2023-05-20,12,5
2023-05-21,32,6
2023-05-22,57,13
2023-05-23,17,8
2023-05-24,44,5
2023-05-25,60,8
2023-05-26,41,9
2023-05-27,2,2
2023-05-28,9,2
2023-05-29,16,7
2023-05-30,14,4
2023-05-31,64,9
2023-06-01,112,14
2023-06-02,16,7
2023-06-03,6,5
2023-06-04,8,3
2023-06-05,8,4
2023-06-06,31,11
2023-06-07,11,7
2023-06-08,15,5
2023-06-09,15,5
2023-06-10,1,1
2023-06-11,18,2
